2024-01-21 00:24:16 - Epoch 1: Training Loss: 4.3263, Training Accuracy = 26.8048%, Test Loss: 2.8126, Test Accuracy = 57.62858129099068%
2024-01-21 00:30:14 - Epoch 2: Training Loss: 2.0083, Training Accuracy = 73.0114%, Test Loss: 1.2609, Test Accuracy = 78.14981014842941%
2024-01-21 00:36:13 - Epoch 3: Training Loss: 0.7996, Training Accuracy = 90.3075%, Test Loss: 0.7436, Test Accuracy = 83.65550569554712%
2024-01-21 00:42:12 - Epoch 4: Training Loss: 0.3224, Training Accuracy = 96.8082%, Test Loss: 0.6112, Test Accuracy = 84.63928201587849%
2024-01-21 00:48:11 - Epoch 5: Training Loss: 0.1441, Training Accuracy = 99.014%, Test Loss: 0.5705, Test Accuracy = 85.05350362443907%
2024-01-21 00:54:12 - Epoch 6: Training Loss: 0.0677, Training Accuracy = 99.8329%, Test Loss: 0.5455, Test Accuracy = 85.4332067656196%
2024-01-21 01:00:10 - Epoch 7: Training Loss: 0.0401, Training Accuracy = 99.9164%, Test Loss: 0.5703, Test Accuracy = 85.38142906454954%
2024-01-21 01:06:11 - Epoch 8: Training Loss: 0.0265, Training Accuracy = 99.9499%, Test Loss: 0.5655, Test Accuracy = 85.79565067311012%
2024-01-21 01:12:11 - Epoch 9: Training Loss: 0.0262, Training Accuracy = 99.8496%, Test Loss: 0.578, Test Accuracy = 85.38142906454954%
2024-01-21 01:18:09 - Epoch 10: Training Loss: 0.0197, Training Accuracy = 99.9332%, Test Loss: 0.586, Test Accuracy = 85.62305833620987%
2024-01-21 01:24:10 - Epoch 11: Training Loss: 0.0154, Training Accuracy = 99.9666%, Test Loss: 0.5766, Test Accuracy = 85.9337245426303%
2024-01-21 01:30:09 - Epoch 12: Training Loss: 0.0135, Training Accuracy = 100.0%, Test Loss: 0.5783, Test Accuracy = 85.96824301001035%
2024-01-21 01:36:08 - Epoch 13: Training Loss: 0.0125, Training Accuracy = 100.0%, Test Loss: 0.5805, Test Accuracy = 85.84742837418018%
2024-01-21 01:42:06 - Epoch 14: Training Loss: 0.0122, Training Accuracy = 100.0%, Test Loss: 0.5806, Test Accuracy = 85.88194684156024%
2024-01-21 01:48:04 - Epoch 15: Training Loss: 0.0106, Training Accuracy = 100.0%, Test Loss: 0.5828, Test Accuracy = 85.86468760787021%
2024-01-21 01:54:04 - Epoch 16: Training Loss: 0.0105, Training Accuracy = 99.9833%, Test Loss: 0.5832, Test Accuracy = 86.00276147739041%
2024-01-21 02:00:04 - Epoch 17: Training Loss: 0.011, Training Accuracy = 100.0%, Test Loss: 0.5856, Test Accuracy = 86.02002071108043%
2024-01-21 02:06:02 - Epoch 18: Training Loss: 0.0095, Training Accuracy = 100.0%, Test Loss: 0.5904, Test Accuracy = 86.00276147739041%
2024-01-21 02:12:00 - Epoch 19: Training Loss: 0.0089, Training Accuracy = 99.9833%, Test Loss: 0.5931, Test Accuracy = 86.02002071108043%
2024-01-21 02:18:00 - Epoch 20: Training Loss: 0.0087, Training Accuracy = 99.9833%, Test Loss: 0.5916, Test Accuracy = 86.05453917846047%
2024-01-21 02:23:59 - Epoch 21: Training Loss: 0.0082, Training Accuracy = 100.0%, Test Loss: 0.5913, Test Accuracy = 86.05453917846047%
